Node,Longitude,Latitude
769,104.0602206,30.61638355
770,104.0773184,30.60357397
771,103.9978433,30.6784115
772,104.0617491,30.71034299
773,104.0734583,30.67845521
774,103.9784668,30.63921045
775,104.0599328,30.66775043
776,104.1121511,30.65500441
777,104.0518659,30.60293304
778,104.1025775,30.61697272
779,103.9464317,30.71977497
780,104.0456827,30.68520249
781,104.1118637,30.70480004
782,103.9672382,30.67469912
783,104.0387221,30.67190071
784,104.0679123,30.67806439
785,104.0416221,30.61623459
786,104.0751744,30.60399139
787,104.063652,30.68685923
788,104.102964,30.70175908
789,103.9918974,30.67315839
790,104.0228234,30.66812114
791,104.1214109,30.65013097
792,104.0613987,30.59376339
793,104.1083697,30.61960094
794,104.0589561,30.68618826
795,104.086401,30.68210717
796,103.998596,30.67045434
797,104.0191596,30.62797015
798,104.1344607,30.62917938
799,104.0518713,30.61623795
800,104.0753692,30.60061324
801,104.0496414,30.7228819
802,104.0758539,30.68651263
803,103.9755348,30.65367442
804,104.0456983,30.65616209
805,104.0798131,30.66389343
806,104.0521038,30.58470505
807,104.0685263,30.60045404
808,104.0204063,30.73193824
809,104.1104646,30.70478208
810,103.9771835,30.64323835
811,104.0143642,30.64454912
812,104.0735,30.63892748
813,104.0581892,30.61123371
814,104.1002196,30.60546663
815,104.0637039,30.6948428
816,104.0700717,30.68477421
817,103.9898616,30.65121392
818,104.0275948,30.63737767
819,104.0709467,30.6743258
820,104.0158469,30.58332268
821,104.1341692,30.60786785
822,104.0450692,30.68972023
823,104.0921312,30.70228545
824,103.9512486,30.67150352
825,104.0540234,30.65066071
826,104.0998265,30.66440044
827,104.0420574,30.61308529
828,104.0685052,30.6057055
829,104.0249996,30.70016139
830,104.084873,30.69103796
831,103.9882345,30.67074127
832,104.0510539,30.65392886
833,104.0826029,30.64891958
834,104.0333621,30.61112478
835,104.0696995,30.61099633
836,104.0071302,30.73264917
837,104.1059658,30.70347163
838,103.9586125,30.63198082
839,104.0358847,30.64300854
840,104.1060637,30.6775428
841,104.0318859,30.59257463
842,104.1333581,30.61806707
843,104.063411,30.70790007
844,104.1270759,30.68584586
845,103.9916224,30.6660987
846,104.0418638,30.6770055
847,104.1118232,30.64369174
848,104.0493077,30.61950946
849,104.0896175,30.57092933
850,104.063768,30.69164587
851,104.0882401,30.6850032
852,103.9562316,30.67153976
853,104.0549607,30.6517935
854,104.0843515,30.67489765
855,104.0610669,30.60531623
856,104.1060279,30.62213772
857,104.0177605,30.68169041
858,104.1071146,30.71525519
859,103.9966501,30.64288317
860,104.0336656,30.63949841
861,104.120455,30.65309272
862,104.0519979,30.59381519
863,104.1129372,30.59636556
864,104.0029919,30.69292611
865,104.0930635,30.70984187
866,103.9827442,30.62574617
867,104.0322507,30.63509005
868,104.1010877,30.67158034
869,104.0552507,30.60277225
870,104.133929,30.61760426
871,104.0034106,30.68701985
872,104.1015821,30.68192194
873,103.9960912,30.67274279
874,104.0023938,30.66366051
875,104.1117457,30.66314868
876,104.0283682,30.5816609
877,104.0955874,30.6052878
878,104.0416006,30.68304127
879,104.1143105,30.68613383
880,103.9865454,30.65642194
881,104.061945,30.6415775
882,104.1336874,30.63179186
883,104.06559,30.5913448
884,104.1128259,30.59898189
885,103.9991279,30.68644492
886,104.1137841,30.68257523
887,103.9778687,30.6589357
888,104.0642409,30.65165033
889,104.0827159,30.66130424
890,104.0504396,30.61321848
891,104.1173704,30.60707617
892,104.0075071,30.69289184
893,104.1266838,30.71717064
894,103.9736664,30.6735115
895,104.0043112,30.63573997
896,104.1211221,30.64606656
897,104.0442832,30.59070038
